Column1,platform,launch_month,ad_category_id,dev_cost,marketing_cost,users_reached,downloads_or_accesses,avg_bounce_rate,cumulative_feedback_from_customers,city_id,edition_id
0,PDF WhatsApp Push,1/1/2021,A001,236570,66060,23509,16319,52.55,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C001,ED1001
1,PDF WhatsApp Push,2/1/2021,A001,156865,99122,19472,17017,82.53,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C002,ED1002
2,PDF WhatsApp Push,3/1/2021,A001,242728,46087,8471,2891,68.06,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C003,ED1003
3,PDF WhatsApp Push,4/1/2021,A001,147695,78868,46796,15640,66.17,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C004,ED1004
4,PDF WhatsApp Push,5/1/2021,A001,325906,135644,16805,3231,76.9,"The site takes too long to load on average phones.
People didn’t wait around.",C005,ED1005
5,PDF WhatsApp Push,6/1/2021,A001,248972,53225,35268,16551,45.74,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C006,ED1006
6,PDF WhatsApp Push,7/1/2021,A001,197235,36643,13329,6091,83.01,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C007,ED1007
7,PDF WhatsApp Push,8/1/2021,A001,188777,66727,39865,17866,76.14,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C008,ED1008
8,PDF WhatsApp Push,9/1/2021,A001,99033,41005,33272,28073,43.38,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C009,ED1009
9,PDF WhatsApp Push,10/1/2021,A001,221877,95697,47845,21517,75.39,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C010,ED1010
10,PDF WhatsApp Push,11/1/2021,A001,246923,46029,11397,5278,67.18,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C001,ED1001
11,PDF WhatsApp Push,12/1/2021,A001,106832,44226,37373,28240,44.09,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C002,ED1002
12,E-paper Mobile Web,1/1/2021,A003,195725,93646,40525,23092,62.92,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C003,ED1003
13,E-paper Mobile Web,2/1/2021,A003,225016,90603,29570,22651,64.23,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C004,ED1004
14,E-paper Mobile Web,3/1/2021,A003,99873,58731,23284,7898,48.29,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C005,ED1005
15,E-paper Mobile Web,4/1/2021,A003,120372,98926,23994,14217,87.28,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C006,ED1006
16,E-paper Mobile Web,5/1/2021,A003,169464,35997,28284,9055,82.5,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C007,ED1007
17,E-paper Mobile Web,6/1/2021,A003,338339,82663,26785,4784,77.8,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C008,ED1008
18,E-paper Mobile Web,7/1/2021,A003,226451,85506,22833,7708,73.45,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C009,ED1009
19,E-paper Mobile Web,8/1/2021,A003,197322,79815,30122,25418,63.11,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C010,ED1010
20,E-paper Mobile Web,9/1/2021,A003,247823,72092,10017,3841,60.59,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C001,ED1001
21,E-paper Mobile Web,10/1/2021,A003,180082,92539,21370,13237,72.55,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C002,ED1002
22,E-paper Mobile Web,11/1/2021,A003,85110,96077,34252,18724,67.27,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C003,ED1003
23,E-paper Mobile Web,12/1/2021,A003,92087,51817,12999,6608,43.11,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C004,ED1004
24,Mobile App Beta,1/1/2021,A002,234834,67861,27436,23043,65.63,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C005,ED1005
25,Mobile App Beta,2/1/2021,A002,415324,120038,22251,7564,77.1,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C006,ED1006
26,Mobile App Beta,3/1/2021,A002,162617,43428,47963,15016,80.32,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C007,ED1007
27,Mobile App Beta,4/1/2021,A002,180483,73934,7096,4954,62.96,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C008,ED1008
28,Mobile App Beta,5/1/2021,A002,89596,40258,30279,26586,42.6,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C009,ED1009
29,Mobile App Beta,6/1/2021,A002,187539,87775,48363,30763,79.31,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C010,ED1010
30,Mobile App Beta,7/1/2021,A002,98313,35469,31201,26898,50.07,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C001,ED1001
31,Mobile App Beta,8/1/2021,A002,193175,58854,24715,8189,52.93,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C002,ED1002
32,Mobile App Beta,9/1/2021,A002,194914,36256,34309,18913,48.24,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C003,ED1003
33,Mobile App Beta,10/1/2021,A002,103705,63937,20078,9157,56.51,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C004,ED1004
34,Mobile App Beta,11/1/2021,A002,153445,31651,10105,7462,77.84,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C005,ED1005
35,Mobile App Beta,12/1/2021,A002,183892,80288,34312,30495,65.97,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C006,ED1006
36,Responsive Web Version,1/1/2021,A004,82023,55051,7839,3558,50.24,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C007,ED1007
37,Responsive Web Version,2/1/2021,A004,199654,57386,8384,5805,83.89,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C008,ED1008
38,Responsive Web Version,3/1/2021,A004,160073,46184,48619,20364,83.98,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C009,ED1009
39,Responsive Web Version,4/1/2021,A004,262756,167913,16821,5065,81.3,,C010,ED1010
40,Responsive Web Version,5/1/2021,A004,172197,63787,47821,30567,83.53,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C001,ED1001
41,Responsive Web Version,6/1/2021,A004,144429,51621,18493,10695,51.94,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C002,ED1002
42,Responsive Web Version,7/1/2021,A004,184195,89792,22069,19491,62.56,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C003,ED1003
43,Responsive Web Version,8/1/2021,A004,113848,75253,12531,8334,89.25,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C004,ED1004
